,titles
88,"B10. (RB, STILL ON LIST A, P. 1) When you were in (this/these) situation(s) in List A, did you ever get dizzy, or sweaty, or tremble, or have a dry mouth, or feel your heart pound? "
89,"B11. In (this/these) situation(s) did you ever have: discomfort in your chest or stomach, difficulty breathing, a feeling that you were choking, or a feeling that you would lose control or go mad? "
90,"B12. (RB, STILL ON LIST A, P. 1) When you had (this/these) unreasonably strong fear(s) in List A, were you ever afraid of collapsing? "
91,"B12a. In (this/these) situation(s), were you ever afraid of other incapacitating or embarrassing symptoms when no help was available or no escape was possible? "
92,"D73a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS A SEASON, PROBE: What months would that be?) JANUARY "
93,B14. INTERVIEWER CHECKPOINT 
94,"B15. (RB, STILL ON LIST A, P. 1) Did you ever tell a doctor other than a psychiatrist about your unreasonably strong fear(s) in List A? Doctor includes medical doctors, osteopaths, and students in training to be medical doctors or osteopaths. DEFINITION: ""Tell a doctor"" means you contacted a doctor directly by telephone or in person. "
95,"B16. Did you ever tell a mental health specialist about (it/them)? By mental health specialist we mean psychiatrists, psychologists, or social workers. "
96,B16a. How old were you the first time [you told a mental health specialist about (it/them)]? Code YEARS OLD (01-55) 
97,"B17. Did you ever tell any other professional about (it/them)? Other professionals include nurses, rabbis, priests, ministers and counselors. "
98,B17a. How old were you the first time [you told any other professional about (it/them)]? 
99,"B18. (RB, STILL ON LIST A, P. 1) Did you ever take medication more than once because of (this/these) fear(s) in List A? DEFINITION: ""Medication"" refers to medicine obtained anywhere--over-the-counter, from a friend, prescribed by a doctor, obtained illegally, etc. "
100,B18a. How old were you the first time you took medication more than once because of (this/these) fear(s)? 
101,"B19. (RB, STILL ON LIST A, P. 1) Were you ever unable to travel some place you wanted to go because of (this/these) fear(s) in List A? "
102,B20. Were you ever unable to leave your home for an entire day because of (this/these) fear(s)? 
103,"B21. (RB, STILL ON LIST A, P. 1) How much did (this/these) fear(s) in List A ever interfere with your life or activities-- a lot, some, a little, or not at all? "
104,"B22. How much did avoiding the situation(s) ever interfere with your life or activities--a lot, some, a little, or not at all? "
105,B23. INTERVIEWER CHECKPOINT 
106,"B24. (RB, STILL ON LIST A, P. 1) When was the first time you had (this/any of these) fear(s) in List A--in the past month, past six months, past year, or more than a year ago? "
107,"B25. (RB, STILL ON LIST A, P. 1) Can you remember your exact age the first time you had (this/any of these) fear(s) in List A? "
108,B25a. (How old were you?) B25b. About how old were you [the first time you had (this/any of these) fear(s)]? (ACCEPT A RANGE RESPONSE.) 
109,B25c. What is the earliest age you can clearly remember having (this/any of these) fear(s)? (ACCEPT A RANGE RESPONSE.) 
110,"B26. (RB, STILL ON LIST A, P. 1) When was the last time you had (this/any of these) fear(s) in List A--in the past month, past six months, past year, or more than a year ago? "
111,B26a. How old were you the last time? Code YEARS OLD (01-55) 
112,"B27. (RB, STILL ON LIST A, P. 1) Did your fear(s) in List A ever occur at times in your life when you were drinking alcohol or using drugs more than usual? DEFINITION: ""Drugs"" include prescription drugs used without a doctor's prescription or more than prescribed, as well as illegal drugs. "
113,B27a. Did the fear(s) always occur at times in your life when you were drinking or using drugs more than usual? 
114,B27b. Which one would start first--the fear(s) or the increase in drinking or drug use? 
115,B28. Did you ever drink more than usual or use drugs not prescribed by a doctor or in greater amounts than prescribed to help you reduce the fear(s)? 
116,B28a. Did this help you feel better? 
117,"B29. (RB, STILL ON P. 1) Now look at List B. Some people have such an unreasonably strong fear of doing things on this list that they avoid them altogether or feel extremely uncomfortable about doing them. Have you ever had such an unreasonably strong fear of... B29a. ...speaking in public? "
118,"B29. (RB, STILL ON P. 1) Now look at List B. Some people have such an unreasonably strong fear of doing things on this list that they avoid them altogether or feel extremely uncomfortable about doing them. Have you ever had such an unreasonably strong fear of... B29b. ...having to use the toilet when away from home? "
119,"B29. (RB, STILL ON P. 1) Now look at List B. Some people have such an unreasonably strong fear of doing things on this list that they avoid them altogether or feel extremely uncomfortable about doing them. Have you ever had such an unreasonably strong fear of... B29c. ...eating or drinking in public? "
120,"B29. (RB, STILL ON P. 1) Now look at List B. Some people have such an unreasonably strong fear of doing things on this list that they avoid them altogether or feel extremely uncomfortable about doing them. Have you ever had such an unreasonably strong fear of... B29d. ...talking to people because you might have nothing to say or might sound foolish? "
121,"B29. (RB, STILL ON P. 1) Now look at List B. Some people have such an unreasonably strong fear of doing things on this list that they avoid them altogether or feel extremely uncomfortable about doing them. Have you ever had such an unreasonably strong fear of... B29e. ...writing while someone watches? "
122,"B29. (RB, STILL ON P. 1) Now look at List B. Some people have such an unreasonably strong fear of doing things on this list that they avoid them altogether or feel extremely uncomfortable about doing them. Have you ever had such an unreasonably strong fear of... B29f. ...talking in front of a small group of people? "
123,B30. INTERVIEWER CHECKPOINT 
124,"B31. (RB, STILL ON LIST B, P. 1) Did (this/any of these) fear(s) in List B ever continue for months or even years? "
125,B31a. Was this because you always avoided (this/these) situation(s)? 
126,"B32. (RB, STILL ON LIST B, P. 1) Did you ever tell a doctor other than a psychiatrist about your unreasonably strong fear(s) in List B? (Doctor includes medical doctors, osteopaths, and students in training to be medical doctors or osteopaths.) DEFINITION: ""Tell a doctor"" means you contacted a doctor directly by telephone or in person. "
127,"B33. Did you ever tell a mental health specialist about (it/them)? (By mental health specialist we mean psychiatrists, psychologists, or social workers.) "
128,B33a. How old were you the first time [you told a mental health specialist about (it/them)]? 
129,"B34. Did you ever tell any other professional about (it/them)? (Other professionals include nurses, rabbis, priests, ministers and counselors.) "
130,B34a. How old were you the first time [you told any other professional about (it/them)]? Code YEARS OLD (01-55) 
131,"B35. (RB, STILL ON LIST B, P. 1) Did you ever take medication more than once because of (this/these) fear(s) in List B? DEFINITION: ""Medication"" refers to medicine obtained anywhere--over-the-counter, from a friend, prescribed by a doctor, obtained illegally, etc. "
132,B35a. How old were you the first time [you took medication more than once because of (this/these) fear(s)]? Code YEARS OLD (01-55) 
133,"B36. (RB, STILL ON LIST B, P. 1) Were you ever very upset with yourself for having (this/any of these) fear(s) in List B? "
134,"B37. (RB, STILL ON LIST B, P. 1) How much did (this/these) fear(s) in List B ever interfere with your life or activities--a lot, some, a little, or not at all? "
135,"B38. How much did avoiding the situation(s) ever interfere with your life or activities--a lot, some, a little, or not at all? "
136,B39. INTERVIEWER CHECKPOINT 
137,"B40. (RB, STILL ON LIST B, P. 1) When was the first time you had (this/any of these) fear(s) in List B--in the past month, past six months, past year, or more than a year ago? "
138,"B41. (RB, STILL ON LIST B, P. 1) Can you remember your exact age the first time [you had (any of) the fear(s) in List B]? "
139,B41a. (How old were you?) B41b. About how old were you [the first time you had (this/any of these) fear(s)]? (ACCEPT A RANGE RESPONSE.) 
140,B41c. What is the earliest age you can clearly remember having (this/any of these) fear(s)? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
141,"B42. (RB, STILL ON LIST B, P. 1) When was the last time you had (this/any of these) fear(s) in List B--in the past month, past six months, past year, or more than a year ago? "
142,B42a. How old were you the last time? Code YEARS OLD (01-55) 
143,"B43. (RB, STILL ON LIST B, P. 1) Did (this/these) unreasonable fear(s) in List B ever keep you from completing a task at home or work, taking on new responsibilities, or taking on a new job? "
144,"B44. Did (it/any of them) ever keep you from going to a party, social event or meeting? "
145,"B45. When you were in (this/these) situation(s) or were thinking about (it/them), did it almost always make you extremely nervous or panicky, make you sweat, your heart pound, or make you short of breath? "
146,"B46. When you had to be in (this/these) situation(s), did you blush or shake, feel like vomiting, or were you afraid of doing something very embarrassing? "
147,"B47. (RB, STILL ON LIST B, P. 1) Did your fear(s) in List B ever occur at times in your life when you were drinking alcohol or using drugs more than usual? DEFINITION: ""Drugs"" include prescription drugs used without a doctor's prescription or more than prescribed, as well as illegal drugs. "
148,B47a. Did the fear(s) always occur at times in your life when you were drinking or using drugs more than usual? 
149,B47b. Which one would start first--the fear(s) or the increase in drinking or drug use? 
150,B48. Did you ever drink more than usual or use drugs not prescribed by a doctor or in greater amounts than prescribed to help reduce the fear(s)? 
151,B48a. Did this help you feel better? 
152,"B49. (RB, STILL ON P. 1) Please look at List C on Page 1. Here are other things that make some people so unreasonably afraid that they try to avoid them. Have you ever had an unreasonably strong fear of . . . B49a. ...heights? "
153,"B49. (RB, STILL ON P. 1) Please look at List C on Page 1. Here are other things that make some people so unreasonably afraid that they try to avoid them. Have you ever had an unreasonably strong fear of . . . B49b. ...flying? "
154,"B49. (RB, STILL ON P. 1) Please look at List C on Page 1. Here are other things that make some people so unreasonably afraid that they try to avoid them. Have you ever had an unreasonably strong fear of . . . B49c. ...closed spaces? "
155,"B49. (RB, STILL ON P. 1) Please look at List C on Page 1. Here are other things that make some people so unreasonably afraid that they try to avoid them. Have you ever had an unreasonably strong fear of . . . B49d. ...being alone? "
156,"B49. (RB, STILL ON P. 1) Please look at List C on Page 1. Here are other things that make some people so unreasonably afraid that they try to avoid them. Have you ever had an unreasonably strong fear of . . . B49e. INTERVIEWER CHECKPOINT "
157,"B49. (RB, STILL ON P. 1) Please look at List C on Page 1. Here are other things that make some people so unreasonably afraid that they try to avoid them. Have you ever had an unreasonably strong fear of . . . B49g. Have you ever had an unreasonably strong fear of storms, thunder, or lightning? "
158,"B49. (RB, STILL ON P. 1) Please look at List C on Page 1. Here are other things that make some people so unreasonably afraid that they try to avoid them. Have you ever had an unreasonably strong fear of . . . B49h. ...snakes, birds, rats, insects, or other animals? "
159,"B49. (RB, STILL ON P. 1) Please look at List C on Page 1. Here are other things that make some people so unreasonably afraid that they try to avoid them. Have you ever had an unreasonably strong fear of . . . B49i. ...seeing blood, getting a shot or injection, or seeing a dentist? "
160,"B49. (RB, STILL ON P. 1) Please look at List C on Page 1. Here are other things that make some people so unreasonably afraid that they try to avoid them. Have you ever had an unreasonably strong fear of . . . B49j. ...being in water, like a swimming pool or lake? "
161,"B49. (RB, STILL ON P. 1) Please look at List C on Page 1. Here are other things that make some people so unreasonably afraid that they try to avoid them. Have you ever had an unreasonably strong fear of . . . B49k. Is there anything else that ever made you so unreasonably afraid that you tried to avoid it? "
162,B50. INTERVIEWER CHECKPOINT 
163,"B51. (RB, STILL ON P. 1) Did (this/any of these) fear(s) in List C ever continue for months or even years? "
164,B51a. Was this because you always avoided (this/these) situation(s)? 
165,"B52. (RB, STILL ON P. 1) Did you ever tell a doctor other than a psychiatrist about your unreasonably strong fear(s) in List C? (Doctor includes medical doctors, osteopaths, and students in training to be medical doctors or osteopaths.) "
166,"B53. Did you ever tell a mental health specialist about (it/them)? (By mental health specialist we mean psychiatrists, psychologists, or social workers.) "
167,B53a. How old were you the first time [you told a mental health specialist about (it/them)]? Code YEARS OLD (01-55) 
168,"B54. Did you ever tell any other professional about (it/them)? (Other professionals include nurses, rabbis, priests, ministers and counselors.) "
169,B54a. How old were you the first time [you told any other professional about (it/them)]? Code YEARS OLD (01-55) 
170,"B55. (RB, STILL ON P. 1) Did you ever take medication more than once because of (this/these) fear(s) in List C? DEFINITION: ""Medication"" refers to medicine obtained anywhere--over-the-counter, from a friend, prescribed by a doctor, obtained illegally, etc. "
171,B55a. How old were you the first time [you took medication more than once because of (this/these) fear(s)?] Code YEARS OLD (01-55) 
172,"B56. (RB, STILL ON P. 1) Were you ever very upset with yourself for having (this/these) fear(s) in List C? "
173,"B57. (RB, STILL ON P. 1) How much did (this/these) fear(s) in List C ever interfere with your life or activities--a lot, some, a little, or not at all? "
174,"B58. How much did avoiding the situation(s) ever interfere with your life or activities--a lot, some, a little, or not at all? "
175,B59. INTERVIEWER CHECKPOINT 
176,"B60. (RB, STILL ON P. 1) When was the first time you had (this/any of these) fear(s) in List C--in the past month, past six months, past year, or more than a year ago? "
177,"B61. (RB, STILL ON P. 1) Can you remember your exact age the first time you had (this/any of these) fear(s) in List C? "
178,B61a. (How old were you?) B61b. About how old were you [the first time you had (this/any of these) fear(s)]? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
179,B61c. What is the earliest age you can clearly remember having (this/any of these) fear(s)? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
180,"B62. (RB, STILL ON P. 1) When was the last time you had (this/any of these) fear(s) in List C--in the past month, past six months, past year, or more than a year ago? "
181,B62a. How old were you the last time? Code YEARS OLD (01-55) 
182,"B63. Did (this/these) unreasonable fear(s) ever keep you from completing a task at home or work, taking on new responsibilities, or taking on a new job? "
183,"B64. Did (it/any of them) ever keep you from going to a party, social event or meeting? "
184,"B65. When you had to be in (this/these) situation(s) or were thinking about (it/them), did it almost always make you extremely nervous or panicky, make you sweat, your heart pound, or make you short of breath? "
185,"B66. (RB, STILL ON P. 1) Did your fear(s) in List C ever occur at times in your life when you were drinking alcohol or using drugs more than usual? DEFINITION: ""Drugs"" include prescription drugs used without a doctor's prescription or more than prescribed, as well as illegal drugs. "
186,B66a. Did the fear(s) always occur at times in your life when you were drinking or using drugs more than usual? 
187,B66b. Which one would start first--the fear(s) or the increase in drinking or drug use? 
188,B67. Did you ever drink more than usual or use drugs not prescribed by a doctor or in greater amounts than prescribed to help you reduce the fear(s)? 
189,B67a. Did this help you feel better? 
190,B68. INTERVIEWER CHECKPOINT 
191,"B68a. (RB, STILL ON P. 1) The next question is about all of the fears listed on Page 1. How old were you the first time you saw a doctor other than a psychiatrist about any of these fears? Code YEARS OLD (01-55) "
192,B68b. Did a doctor other than a psychiatrist ever prescribe medication for you because of (this/these) fear(s)? 
193,B68c. How old were you the first time [a doctor other than a psychiatrist prescribed medicine for you because of (this/these) fear(s)]? Code YEARS OLD (01-55) 
194,"B68d. Did a doctor other than a psychiatrist ever advise you to see a mental health specialist (someone like a psychiatrist, psychologist or social worker) because of (this/these) fear(s)? "
195,B68e. How old were you the first time (a doctor other than a psychiatrist advised you to see a mental health specialist)? Code YEARS OLD (01-55) 
196,B69. INTERVIEWER CHECKPOINT 
197,"B69a. INTERVIEWER QUERY FIRST ""YES"" RESPONSE IN ""SCREENERS"" "
198,B70. Earlier you mentioned having a spell or attack of suddenly feeling frightened or anxious in situations when most people would not be afraid. Did this happen in situations when you were not in danger or not the center of attention? B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... 
199,B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71a. ...were you short of breath or having trouble catching your breath? 
200,B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71b. ...did your heart pound? 
201,B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71c. ...were you dizzy or lightheaded? 
202,"B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71d. ...did you have tightness, pain or discomfort in your chest or stomach? "
203,B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71e. ...did your fingers or feet tingle or feel numb? 
204,"B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71f. ...did you feel like you were choking, or having difficulty swallowing? "
205,B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71g. ...did you feel faint? 
206,B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71h. ...did you sweat? 
207,B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71i. ...did you tremble or shake? 
208,B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71j. ...did you have hot flashes or chills? 
209,"B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71k. ...did you, or things around you, seem unreal? "
210,B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71l. ...did it seem like time was passing much more quickly or much more slowly than usual? 
211,B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71m. ...were you afraid that you might die? 
212,B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71n. ...were you afraid that you might act in a crazy way? 
213,B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71o. ...did you have nausea? 
214,B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71p. ...did you have stomach or belly pain? 
215,B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71q. ...did you feel like you were smothering? 
216,B71. Please think about one of your worst spells or attacks of suddenly feeling very frightened or very uneasy. During that spell or attack... B71r. ...did you have a dry mouth? 
217,B72. INTERVIEWER CHECKPOINT 
218,"B73. During several of your spells or attacks of feeling very frightened or very uneasy, did some of these things like (READ FIRST 2 ""YES"" RESPONSES FROM B71) begin suddenly and then get worse within the first few minutes of the attack? "
219,"B74. When was the first time you had a sudden spell or attack of feeling frightened or very uneasy and had at least two of these other things at the same time--in the past month, past six months, past year, or more than a year ago? "
220,B75. Can you remember your exact age the first time (you had a sudden spell or attack of feeling frightened or very uneasy and had at least two of these other things at the same time)? 
221,B75a. (How old were you?) B75b. About how old were you (the first time you had one of these attacks)? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
222,B75c. What is the earliest age you can clearly remember having an attack? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
223,"B76. When was the last time (you had a spell or attack and had at least two of these other things at the same time--in the past month, past six months, past year, or more than a year ago)? "
224,B76a. How old were you the last time? Code YEARS OLD (01-55) 
225,B77. About how many spells or attacks of suddenly feeling frightened or very uneasy have you had in your lifetime? (ACCEPT A RANGE RESPONSE.) Code # ATTACKS (01-95) 
226,B78. INTERVIEWER CHECKPOINT 
227,B79. Did you ever have four or more spells or attacks within a four-week period? 
228,B79a. Can you remember your exact age the first time you had four or more attacks in a four-week period? 
229,B79b. (How old were you?) B79c. About how old were you (the first time you had four or more attacks in a four-week period)? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
230,B79d. What is the earliest age you can clearly remember having four or more attacks in a four-week period? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
231,"B80. After having a spell or attack, did you ever have a month or more when you were constantly afraid that you might have another attack? "
232,"B80a. Can you remember your exact age the first time you had a month or more when you were constantly afraid of having another attack? 5, 8-9 in 642 "
233,B80b. (How old were you?) B80c. About how old were you (the first time you had a month or more when you were constantly afraid of having another attack)? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
234,B80d. What is the earliest age you can clearly remember having a month or more when you were constantly afraid of having another attack? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
235,B81. INTERVIEWER CHECKPOINT 
236,B81a. INTERVIEWER CHECKPOINT 
237,[BUILT VAR for use in consistency check at B72] 
238,B82. Did you ever have a period of a month or more when you had at least four spells or attacks every week? 
239,"B83. Did you ever tell a doctor other than a psychiatrist about your spells or attacks? (Doctor includes medical doctors, osteopaths, and students in training to be medical doctors or osteopaths.) DEFINITION: ""Tell a doctor"" means you contacted a doctor directly by telephone or in person. "
